Model,Test_R2,Test_RMSE,Test_MAE,Test_MAPE
Hierarchical_Combined,0.7160584009843112,878.4900493414427,622.8146448875967,50.00228737120737
Random Forest (Improved),0.6173466856058551,1019.8236388782933,710.1349491521712,55.234323862797005
CatBoost,0.6171588840265053,1020.0738666812808,717.9880418853943,59.06793046031825
Supermarket_Specialized,0.4893924975596221,1157.8711154919242,848.9748444787796,54.69020235659931
Grocery_Specialized,0.23037606788321063,218.44873235317465,165.0801742901455,62.637291870538355
