Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE
Stacking Ensemble,1019.8615884162033,1025.134881846014,723.4922509842598,722.8367159760301,0.6483772834873336,0.6133505887776081,56.88123535840807,60.88966137948817
Voting Ensemble,1010.6039747964134,1026.8993352414245,718.9862121311195,725.7275654957778,0.6547318968824694,0.6120184480059676,56.99571380152185,61.910039825536685
XGBoost,1070.8098067267647,1027.2300286404861,764.0081941882842,731.1061748124001,0.6123684350361471,0.6117685236120982,63.159158552136994,65.47214184072524
MLP Neural Network,1084.1265365752295,1028.43770728539,767.249766280247,723.174172597332,0.6026672119885623,0.6108551264940844,56.58923142501553,57.12365373519218
Gradient Boosting,1066.148756408338,1032.1564493928095,763.6678047183099,737.4289939991894,0.615735677170947,0.6080358098463923,64.4651875557454,67.46963539070171
Random Forest,914.0738611895504,1042.1019073118684,644.320099925707,726.3807163149689,0.7175399479120814,0.6004457890977304,46.02660516492903,56.20838093746529
Linear Regression,1142.5599272826087,1070.2788932174767,847.8253307433214,792.0022958780324,0.5586811976381303,0.5785469003738074,103.94410347094319,105.8692260824577
