Model 1,Model 2,t-statistic,p-value,Cohens d,Significant
Linear Regression,Random Forest,5.384593128246669,0.005750971602915309,1.1107613389378883,Yes
Linear Regression,XGBoost,11.129795912448346,0.0003708373026548357,1.4136500339237248,Yes
Linear Regression,Gradient Boosting,9.948943471309379,0.0005732504159081483,1.316259147370291,Yes
Random Forest,XGBoost,4.036973062015123,0.015643085935231747,0.36702351349722656,Yes
Random Forest,Gradient Boosting,3.124037713730872,0.035388323211301705,0.2563188450839183,Yes
XGBoost,Gradient Boosting,-7.876579580566821,0.0014044829089749577,-0.10901567698680824,Yes
