Category,Count,RMSE,MAE,R2,MAPE
Food,1276,1031.3395448928807,726.984362290017,0.6174986021187829,59.566278829647224
Non-Consumable,307,1036.0577289646478,732.3618601482214,0.5681811603800176,69.33745331523801
Drinks,122,927.7892964492925,655.4874048489002,0.6671121365301611,53.472972931306614
