Outlet_Type,Count,RMSE,MAE,R2,MAPE
Supermarket Type1,1131,1058.4398323817654,773.3391467823375,0.4740912015779578,53.032524604812195
Supermarket Type3,174,1392.4374239623783,1063.493505618757,0.49695380475010664,39.88742387745302
Supermarket Type2,176,986.4759787437664,706.6450726812164,0.45404314819312586,71.00565352207293
Grocery Store,224,268.06511296213705,215.94920963727617,-0.15909547971962668,108.92714530992448
